﻿相对路径,文件名,大小(字节),MD5,年份,批次,分类
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AC58U_IPQ40XX_1000M_IPQ4018_FREE_6.3_2020122100.bin.rar,JIKEAP_AC58U_IPQ40XX_1000M_IPQ4018_FREE_6.3_2020122100.bin.rar,10744374,72d4fbe714461e9b13a327ea550e766f,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AC58U_IPQ40XX_6.3_2020122100_opboot.bin.rar,JIKEAP_AC58U_IPQ40XX_6.3_2020122100_opboot.bin.rar,10744529,54819904dee286c9e3a646b45dfb9754,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_ACRH17_IPQ40XX_1000M_QCA9984_HT160_FREE_6.3_2020122100.bin.rar,JIKEAP_ACRH17_IPQ40XX_1000M_QCA9984_HT160_FREE_6.3_2020122100.bin.rar,12732991,04696966d8c22ba1f691fc6c56b95fdd,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_ACRH17_IPQ40XX_6.3_2020122100_opboot.bin.rar,JIKEAP_ACRH17_IPQ40XX_6.3_2020122100_opboot.bin.rar,12732556,a8f38036bfd590634e2e7d58c307a8d8,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AP118L_IPQ40XX_1000M_EPORT_6.3_2020122100.bin.rar,JIKEAP_AP118L_IPQ40XX_1000M_EPORT_6.3_2020122100.bin.rar,13446487,176b44e63a9d6093a09eff3d3495f6e9,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AP269X-HG_IPQ40XX_1000M_6.3_2020122100.bin.rar,JIKEAP_AP269X-HG_IPQ40XX_1000M_6.3_2020122100.bin.rar,13447327,bd6966c4027ba5568134f453f53611b2,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AP285F-H_IPQ40XX_1000M_6.3_2020122100.bin.rar,JIKEAP_AP285F-H_IPQ40XX_1000M_6.3_2020122100.bin.rar,13447409,854656de2efa2e86df7350774d1c62f3,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AP320F-H_IPQ40XX_1000M_3RADIO_6.3_2020122100.bin.rar,JIKEAP_AP320F-H_IPQ40XX_1000M_3RADIO_6.3_2020122100.bin.rar,13420169,c3cce7ad7a101ea741b308f6a98651c0,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AP320Y-H_IPQ40XX_1000M_3RADIO_6.3_2020122100.bin.rar,JIKEAP_AP320Y-H_IPQ40XX_1000M_3RADIO_6.3_2020122100.bin.rar,13448351,f9f31d999639094ccbeb9004e39f9a5f,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AP330F-H_IPQ40XX_1000M_3RADIO_HT160_6.3_2020122100.bin.rar,JIKEAP_AP330F-H_IPQ40XX_1000M_3RADIO_HT160_6.3_2020122100.bin.rar,13420026,ee5bd32cd6c4f9e4192fd375af328d24,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AP386X_IPQ40XX_1000M_3RADIO_6.3_2020122100.bin.rar,JIKEAP_AP386X_IPQ40XX_1000M_3RADIO_6.3_2020122100.bin.rar,13447872,93fecf038dc4586626586b1bf6717317,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AX1800MI_IPQ60XX_1000M_WIFI6_FREE_6.3_2020122100.bin.rar,JIKEAP_AX1800MI_IPQ60XX_1000M_WIFI6_FREE_6.3_2020122100.bin.rar,12450438,12f8b2dd7542039e1c59874a0a0d3fbb,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AX1800Y_IPQ60XX_6.3_2020122100.bin.rar,JIKEAP_AX1800Y_IPQ60XX_6.3_2020122100.bin.rar,13286839,a5f1e8bf0d19ad85e51dbaacf6d0216e,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AX2180_IPQ60XX_1000M_WIFI6_6.3_2020122100.bin.rar,JIKEAP_AX2180_IPQ60XX_1000M_WIFI6_6.3_2020122100.bin.rar,13297750,f94307a118059ad67f3fcf4822e820ad,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AX5RM_IPQ60XX_1000M_WIFI6_FREE_6.3_2020122100.bin.rar,JIKEAP_AX5RM_IPQ60XX_1000M_WIFI6_FREE_6.3_2020122100.bin.rar,12449672,c58ae0e3dc10d3d203a1424dbed6ef46,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_AXR3100_IPQ40XX_1000M_QCA9984_HT160_FREE_6.3_2020122100.bin.rar,JIKEAP_AXR3100_IPQ40XX_1000M_QCA9984_HT160_FREE_6.3_2020122100.bin.rar,13382082,4bb81384767234bcad38d737b59daf1b,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/JIKEAP_CM520_IPQ40XX_1000M_NAND_FREE_6.3_2020122100.bin.rar,JIKEAP_CM520_IPQ40XX_1000M_NAND_FREE_6.3_2020122100.bin.rar,12752515,8679b42346df384d2eee04a460b0cb31,2020,20201221,集客无线AP_QCA_IPQ
